Cluster size,Number of responses,Rank,Estimator,Mean distance,Lower CI,Upper CI,Overlap Dense GEE2,Overlap Full WLRA,Overlap Bhat SVD,Overlap Yhat SVD,Overlap Bhat KA,Overlap Block WLRA,Overlap OlS RR,Overlap Yhat RR,Overlap Yhat CW
2,3,2,Bhat KA,5.612130976864111,5.263234906571045,5.961027047157177,false,true,false,false,true,false,false,true,true
2,5,2,Full WLRA,4.572095490663286,4.276077936377881,4.868113044948691,false,true,false,false,true,false,false,true,true
2,5,3,Yhat CW,7.855700169437274,7.353346604155374,8.358053734719174,false,true,false,false,true,false,false,true,true
2,5,4,Full WLRA,6.9669319953045,6.592587353702662,7.341276636906338,false,true,false,false,true,false,false,false,true
2,8,2,Bhat KA,5.5708687975785915,5.1754985038894485,5.9662390912677346,false,true,false,false,true,false,false,true,true
2,8,3,Bhat KA,8.167350154599456,7.642054302956954,8.692646006241958,false,true,false,false,true,false,false,true,true
2,8,4,Yhat CW,9.79343392588311,9.225390516644802,10.361477335121416,false,true,false,false,true,false,false,true,true
5,3,2,Full WLRA,4.8067209275471505,4.606447490254336,5.006994364839965,false,true,false,false,false,false,false,false,false
5,5,2,Full WLRA,4.316954346461105,4.072186373004531,4.5617223199176795,false,true,false,false,true,false,false,true,true
5,5,3,Full WLRA,5.537207503729848,5.1731589817730494,5.901256025686646,false,true,false,false,true,false,false,false,true
5,5,4,Bhat KA,9.269260416237413,8.702158531652987,9.83636230082184,false,true,false,false,true,false,false,true,true
5,8,2,Full WLRA,7.7278915523026,6.866406110322384,8.589376994282816,false,true,false,false,true,false,false,true,true
5,8,3,Bhat KA,7.08951673722945,6.69830560891942,7.480727865539479,false,false,false,false,true,false,false,false,false
5,8,4,Bhat KA,7.537200360442096,7.123984893888377,7.950415826995815,false,false,false,false,true,false,false,false,false
10,3,2,Full WLRA,4.199634571411966,3.9566623244562407,4.442606818367692,false,true,false,false,false,false,false,false,false
10,5,2,Full WLRA,4.374544738540936,4.073270140118411,4.675819336963461,false,true,false,false,true,false,false,false,false
10,5,3,Bhat KA,6.526257247404894,6.119234843211807,6.9332796515979815,false,false,false,false,true,false,false,false,false
10,5,4,Full WLRA,6.217885014054085,5.8864754535586,6.549294574549569,false,true,false,false,false,false,false,false,false
10,8,2,Bhat KA,6.7019804521811395,6.050389840502806,7.353571063859473,false,true,false,false,true,false,false,false,false
10,8,3,Full WLRA,7.071620947250556,6.730107966222459,7.413133928278652,false,true,false,false,true,false,false,false,false
10,8,4,Full WLRA,8.369672207248728,7.979930460209219,8.759413954288238,false,true,false,false,true,false,false,false,false
20,3,2,Full WLRA,3.959052095340157,3.6708094087430725,4.247294781937241,false,true,false,false,false,false,false,false,false
20,5,2,Full WLRA,4.11481126114753,3.8702531081459246,4.3593694141491355,false,true,false,false,true,false,false,true,true
20,5,3,Full WLRA,6.465296385144159,6.092202300707851,6.8383904695804665,false,true,false,false,false,false,false,false,false
20,5,4,Bhat KA,11.036990810373824,10.20433211044163,11.869649510306019,false,true,false,false,true,true,false,false,false
20,8,2,Full WLRA,6.04279225812445,5.577914864672817,6.507669651576084,false,true,false,false,true,false,false,false,false
20,8,3,Full WLRA,7.074181117809978,6.6661375938612695,7.482224641758687,false,true,false,false,true,false,false,false,false
20,8,4,Bhat KA,8.446381080465873,8.051179100896766,8.84158306003498,false,true,false,false,true,false,false,false,false
30,3,2,Bhat KA,11.826952388834906,10.59106192602648,13.062842851643332,true,true,true,true,true,true,true,true,true
30,5,2,Full WLRA,5.888833865752327,5.473924968797334,6.303742762707319,false,true,false,false,true,false,false,false,false
30,5,3,Full WLRA,8.077670151530777,7.61611977626797,8.539220526793583,false,true,false,false,true,false,false,false,false
30,5,4,Bhat KA,12.236834592395258,11.373811524124866,13.09985766066565,false,false,false,false,true,false,false,false,false
